Benchmark                       (chunkMaxElements)  (chunkMinElements)  (dataCount)  (staticChunkAmount)  (useChangeFile)   Mode  Cnt     Score     Error  Units
StaticBenchmark.createPlayers                  N/A                 N/A         1000                   50            false  thrpt   10     4.845 ±   0.173  ops/s
StaticBenchmark.createPlayers                  N/A                 N/A        10000                    2             true  thrpt   10     3.211 ±   0.077  ops/s
StaticBenchmark.createPlayers                  N/A                 N/A        10000                    2            false  thrpt   10    95.380 ±   2.007  ops/s
StaticBenchmark.createPlayers                  N/A                 N/A        10000                   10             true  thrpt   10     3.235 ±   0.062  ops/s
StaticBenchmark.createPlayers                  N/A                 N/A        10000                   10            false  thrpt   10    44.554 ±   1.650  ops/s
StaticBenchmark.createPlayers                  N/A                 N/A        10000                   50             true  thrpt   10     1.838 ±   0.094  ops/s
StaticBenchmark.createPlayers                  N/A                 N/A        10000                   50            false  thrpt   10     3.567 ±   0.059  ops/s
StaticBenchmark.createPlayers                  N/A                 N/A       100000                    2             true  thrpt   10     0.666 ±   0.031  ops/s
StaticBenchmark.createPlayers                  N/A                 N/A       100000                    2            false  thrpt   10     6.187 ±   0.113  ops/s
StaticBenchmark.createPlayers                  N/A                 N/A       100000                   10             true  thrpt   10     0.663 ±   0.024  ops/s
StaticBenchmark.createPlayers                  N/A                 N/A       100000                   10            false  thrpt   10     4.732 ±   0.181  ops/s
StaticBenchmark.createPlayers                  N/A                 N/A       100000                   50             true  thrpt   10     0.391 ±   0.019  ops/s
StaticBenchmark.createPlayers                  N/A                 N/A       100000                   50            false  thrpt   10     0.817 ±   0.060  ops/s
StaticBenchmark.loadGame                       N/A                 N/A         1000                    2             true  thrpt   10   664.147 ±   7.125  ops/s
StaticBenchmark.loadGame                       N/A                 N/A         1000                    2            false  thrpt   10  1216.190 ±  30.412  ops/s
StaticBenchmark.loadGame                       N/A                 N/A         1000                   10             true  thrpt   10   110.352 ±   2.276  ops/s
StaticBenchmark.loadGame                       N/A                 N/A         1000                   10            false  thrpt   10   122.976 ±   2.785  ops/s
StaticBenchmark.loadGame                       N/A                 N/A         1000                   50             true  thrpt   10     4.737 ±   0.382  ops/s
StaticBenchmark.loadGame                       N/A                 N/A         1000                   50            false  thrpt   10     5.239 ±   0.116  ops/s
StaticBenchmark.loadGame                       N/A                 N/A        10000                    2             true  thrpt   10   185.519 ±   5.976  ops/s
StaticBenchmark.loadGame                       N/A                 N/A        10000                    2            false  thrpt   10   240.367 ±   3.940  ops/s
StaticBenchmark.loadGame                       N/A                 N/A        10000                   10             true  thrpt   10    82.803 ±   2.053  ops/s
StaticBenchmark.loadGame                       N/A                 N/A        10000                   10            false  thrpt   10    88.723 ±   8.253  ops/s
StaticBenchmark.loadGame                       N/A                 N/A        10000                   50             true  thrpt   10     4.618 ±   0.364  ops/s
StaticBenchmark.loadGame                       N/A                 N/A        10000                   50            false  thrpt   10     5.091 ±   0.101  ops/s
StaticBenchmark.loadGame                       N/A                 N/A       100000                    2             true  thrpt   10    12.483 ±   0.497  ops/s
StaticBenchmark.loadGame                       N/A                 N/A       100000                    2            false  thrpt   10    13.681 ±   0.413  ops/s
StaticBenchmark.loadGame                       N/A                 N/A       100000                   10             true  thrpt   10    12.748 ±   0.412  ops/s
StaticBenchmark.loadGame                       N/A                 N/A       100000                   10            false  thrpt   10    13.668 ±   0.269  ops/s
StaticBenchmark.loadGame                       N/A                 N/A       100000                   50             true  thrpt   10     3.050 ±   0.353  ops/s
